country,film_count
United States of America,3886
United Kingdom,746
France,450
Japan,305
Germany,284
Canada,266
Italy,194
Hong Kong,132
China,119
Spain,104
Australia,99
South Korea,99
Belgium,66
India,52
Mexico,51
Ireland,46
Sweden,37
Brazil,35
Denmark,28
New Zealand,25
Czech Republic,24
Switzerland,24
Netherlands,24
Russia,21
Poland,19
Luxembourg,17
Thailand,17
South Africa,16
Hungary,15
Argentina,14
Bulgaria,14
Taiwan,14
Austria,13
Turkey,13
United Arab Emirates,12
Finland,12
Norway,12
Yugoslavia,10
Romania,10
Soviet Union,9
Colombia,8
Greece,7
Morocco,7
Philippines,6
Serbia,6
Ukraine,4
Iceland,4
Iran,4
Singapore,3
Venezuela,3
Indonesia,3
Peru,3
Netherlands Antilles,3
Puerto Rico,3
Czechoslovakia,2
Algeria,2
Portugal,2
Bosnia and Herzegovina,2
Chile,2
Cyprus,2
Dominican Republic,2
Estonia,2
Israel,2
Botswana,1
Bahamas,1
Congo,1
Bolivia,1
Georgia,1
Ghana,1
Mozambique,1
Malta,1
Macao,1
Malaysia,1
Lebanon,1
Jordan,1
Kenya,1
Latvia,1
Jamaica,1
East Germany,1
Ecuador,1
Egypt,1
Solomon Islands,1
Syrian Arab Republic,1
Tunisia,1
Vietnam,1
