director,films,avg_rating,avg_votes,total_revenue,avg_popularity
Tosca Musk,3,8.38,1691.33,0,4.95
Charlie Chaplin,5,8.19,2865.6,26500000,6.73
Sergio Leone,6,8.11,5105.0,79280118,10.65
Paul Dugdale,4,8.1,257.75,15,2.89
Akira Kurosawa,13,8.05,1328.31,135548320,6.0
Yasujirō Ozu,3,8.03,664.67,0,3.52
Kazuya Tsurumaki,3,8.02,1282.33,134567049,7.73
Isao Takahata,3,7.98,3222.33,25681898,3.32
Satoshi Kon,4,7.97,2113.25,2275632,7.33
Mamoru Hosoda,3,7.97,2091.67,108454826,6.11
Ettore Scola,3,7.95,578.0,0,2.88
Pete Docter,4,7.95,18973.0,2294392639,18.05
Hayao Miyazaki,12,7.94,6296.0,1414550485,12.63
Giuseppe Tornatore,6,7.94,2249.33,95100813,10.18
Federico Fellini,6,7.93,1415.0,20399045,3.64
Haruo Sotozaki,3,7.93,1835.0,1257052926,48.47
Andrei Tarkovsky,5,7.92,1384.6,460248,6.6
Miloš Forman,3,7.9,5603.67,214302438,9.33
Billy Wilder,9,7.88,1769.67,115700000,5.09
Kenji Nagasaki,3,7.87,991.0,104465253,5.29
Ingmar Bergman,11,7.87,1126.82,7820151,2.58
Quentin Tarantino,11,7.84,15880.09,1957902482,14.09
Brad Bird,3,7.84,14420.33,1278468092,13.85
Frank Capra,5,7.82,1781.8,31177225,4.83
Walter Salles,3,7.82,1168.67,99621504,3.48
Hirokazu Kore-eda,5,7.81,1021.6,20325446,5.05
Dean DeBlois,4,7.8,8599.5,2293018396,14.63
Vittorio De Sica,4,7.79,1094.75,13321620,2.45
F. W. Murnau,4,7.78,1016.25,1660194,3.13
Damien Chazelle,3,7.78,13376.33,665204238,14.76
Christopher Nolan,9,7.78,17904.0,4589710495,16.55
Thomas Astruc,5,7.77,552.4,0,5.08
François Truffaut,3,7.77,1335.67,850000,2.65
David Lean,4,7.77,1924.5,226766363,5.03
Alex Kendrick,5,7.76,473.6,157890790,4.84
Francis Ford Coppola,8,7.76,7891.62,934704038,15.14
Stanley Kubrick,12,7.76,6899.92,463646743,9.39
Fritz Lang,5,7.75,1375.8,4334096,3.4
Jay Oliva,3,7.75,1568.33,5155325,4.23
Peter Jackson,8,7.73,14098.25,4614758571,16.48
Makoto Shinkai,5,7.72,4032.2,599417893,10.14
Frank Darabont,4,7.72,13801.5,372613063,19.71
Alfred Hitchcock,16,7.72,3140.75,138828243,5.68
Roberto Rossellini,3,7.7,580.33,1000000,1.81
Oriol Paulo,3,7.7,2772.0,47325485,5.39
Ernst Lubitsch,4,7.7,597.25,3779000,2.96
Denis Villeneuve,8,7.7,11094.75,1805450979,15.68
Michelangelo Antonioni,3,7.7,671.67,0,1.86
Jean-Pierre Melville,4,7.66,749.75,1121378,2.46
Elia Kazan,3,7.66,1344.33,22600631,4.48
Emir Kusturica,3,7.66,673.0,535868,1.98
Byron Howard,3,7.65,13472.33,1879276109,17.95
Sidney Lumet,8,7.65,2685.25,179066229,6.47
William Wyler,7,7.64,1121.14,210550000,5.57
