genre,total_films,avg_rating,median_rating,avg_runtime,avg_votes,avg_popularity,total_budget,total_revenue,rating_rank
Action,1428,6.72,6.67,112.79,3666.32,8.55,73710421166,222613518730,17
Adventure,1061,6.83,6.82,111.54,4390.01,9.69,68398167984,230728704242,12
Animation,572,7.23,7.3,91.13,2906.96,9.57,20209237949,79673792323,2
Comedy,1487,6.81,6.8,102.83,2596.37,7.85,42044689279,150903168431,13
Crime,807,6.95,6.96,114.24,2890.34,7.31,20922809311,58990539622,8
Documentary,196,7.24,7.3,103.49,324.53,3.21,264018202,1589906004,1
Drama,2342,7.14,7.26,117.36,2377.26,6.32,44794886266,141710285238,4
Family,635,6.92,6.95,95.06,3195.45,9.04,28820933704,103160554044,9
Fantasy,666,6.9,6.91,105.23,3661.29,9.5,32013657761,104805948625,10
History,341,7.18,7.2,132.1,1885.67,5.32,9025175029,20617916140,3
Horror,579,6.53,6.5,101.58,2528.88,9.57,9070728205,32202546171,19
Music,287,7.08,7.06,108.81,1062.12,4.92,4103311020,10875611628,5
Mystery,428,6.86,6.81,110.06,2843.19,7.33,9551924021,29371871154,11
Romance,839,6.97,7.0,111.67,2129.75,6.69,14640867946,61499953478,7
Science Fiction,663,6.78,6.79,109.69,4899.3,9.75,39513285032,125885255789,14
TV Movie,224,6.72,6.71,93.06,349.96,3.69,224850020,70399753,17
Thriller,1291,6.74,6.7,111.21,2971.4,8.36,38221665076,111157226738,15
War,278,7.08,7.13,127.69,2029.65,5.22,7055646879,17458642021,5
Western,253,6.73,6.7,113.24,1134.96,4.09,3170036469,6384824890,16
