original_language,film_count,avg_rating,avg_popularity
en,4217,6.840146786815271,7.797103485890443
ja,246,7.4173780487804875,6.483298780487805
fr,172,7.296593023255813,4.466337209302326
it,108,7.206203703703704,4.598168518518518
es,90,7.214333333333333,8.071143333333334
ko,88,7.130102272727272,6.525010227272728
cn,66,6.818909090909091,6.143545454545454
zh,58,7.117310344827586,8.155960344827587
de,49,7.201632653061225,3.941812244897959
ru,26,7.149423076923076,19.774419230769233
pt,22,7.4621818181818185,4.778690909090908
hi,19,7.304578947368421,10.34478947368421
sv,17,7.70235294117647,2.9677529411764705
da,10,7.513800000000001,3.2350899999999996
tr,8,7.66475,4.3963
th,7,6.850999999999999,5.563785714285714
no,7,7.08,9.847485714285714
pl,6,7.074000000000001,3.5573
nl,5,7.7378,3.06454
sr,4,7.1194999999999995,5.096550000000001
ta,4,6.9375,5.5274
el,3,7.001,4.277166666666667
te,3,5.861,11.947266666666666
tl,3,5.786666666666666,10.1431
fa,3,7.755333333333333,2.2299
fi,3,7.374666666666666,12.530299999999999
id,3,7.339333333333333,5.1773
cs,2,7.437,1.57135
ar,2,8.0135,10.4475
bn,1,7.812,2.0272
bs,1,7.49,1.1594
lv,1,8.086,15.6266
kn,1,7.107,11.3021
hu,1,7.57,1.8271
he,1,7.677,2.2435
et,1,7.688,1.4572
ro,1,7.546,1.9258
sh,1,7.6,1.2895
uk,1,7.656,5.95
