id,imdb_id,title,original_title,original_language,overview,tagline,genres,primary_genre,n_genres,release_date,release_year,release_month,release_quarter,release_decade,runtime,runtime_category,budget,revenue,profit,roi,budget_tier,popularity,popularity_tier,vote_average,vote_count,weighted_rating,rating_tier,status,director,writer,cast,production_companies_name,production_companies_country,production_countries,spoken_languages,poster_path,backdrop_path
11,tt0076759,Star Wars,Star Wars,en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"A long time ago in a galaxy far, far away...","Adventure,Action,Science Fiction",Adventure,3,1977-05-25,1977,5,2,1970,121,Long (110-140min),11000000,775398007,764398007.0,69.49072790909091,Mid Budget,22.7123,Very High,8.202,22179,8.032,Excellent (8+),Released,George Lucas,George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,Alec Guinness,Anthony Daniels,Kenny Baker,Peter Mayhew","Lucasfilm Ltd.,20th Century Fox","US,US",United States of America,English,https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,https://image.tmdb.org/t/p/w500/yUiXA68FfQeA8cRBhd0Ao0jIRZt.jpg
12,tt0266543,Finding Nemo,Finding Nemo,en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",There are 3.7 trillion fish in the ocean. They're looking for one.,"Animation,Family,Adventure",Animation,3,2003-05-30,2003,5,2,2000,100,Standard (80-110min),94000000,940335536,846335536.0,9.003569531914893,High Budget,18.923,Very High,7.817,20443,7.69,Great (7-8),Released,Andrew Stanton,Andrew Stanton,"Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe,Geoffrey Rush,Brad Garrett,Allison Janney,Austin Pendleton",Pixar,US,United States of America,English,https://image.tmdb.org/t/p/w500/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,https://image.tmdb.org/t/p/w500/eCynaAOgYYiw5yN5lBwz3IxqvaW.jpg
13,tt0109830,Forrest Gump,Forrest Gump,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",The world will never be the same once you've seen it through the eyes of Forrest Gump.,"Comedy,Drama,Romance",Comedy,3,1994-06-23,1994,6,2,1990,142,Epic (140+min),55000000,677387716,622387716.0,11.316140290909091,High Budget,26.6303,Very High,8.464,29561,8.305,Excellent (8+),Released,Robert Zemeckis,Eric Roth,"Tom Hanks,Robin Wright,Gary Sinise,Sally Field,Mykelti Williamson,Michael Conner Humphreys,Hanna Hall,Haley Joel Osment","Paramount Pictures,The Steve Tisch Company,Wendy Finerman Productions","US,US,US",United States of America,English,https://image.tmdb.org/t/p/w500/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,https://image.tmdb.org/t/p/w500/67HggiWaP9ZLv5sPYmyRV37yAJM.jpg
14,tt0169547,American Beauty,American Beauty,en,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",... look closer,Drama,Drama,1,1999-09-15,1999,9,3,1990,122,Long (110-140min),15000000,356296601,341296601.0,22.753106733333333,Mid Budget,10.4233,Very High,8.0,12963,7.777,Great (7-8),Released,Sam Mendes,Alan Ball,"Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,Mena Suvari,Peter Gallagher,Allison Janney,Chris Cooper","DreamWorks Pictures,Jinks/Cohen Company","US,US",United States of America,English,https://image.tmdb.org/t/p/w500/wby9315QzVKdW9BonAefg8jGTTb.jpg,https://image.tmdb.org/t/p/w500/2ndw55F40IkALzWyjCCza3M6nqM.jpg
15,tt0033467,Citizen Kane,Citizen Kane,en,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",Some called him a hero...others called him a heel.,"Mystery,Drama",Mystery,2,1941-04-17,1941,4,2,1940,119,Long (110-140min),839727,23218000,22378273.0,26.649462265712547,Low Budget,6.3552,High,7.978,6007,7.597,Great (7-8),Released,Orson Welles,Orson Welles,"Orson Welles,Joseph Cotten,Dorothy Comingore,Ray Collins,George Coulouris,Agnes Moorehead,Paul Stewart,Ruth Warrick","Mercury Productions,RKO Radio Pictures",",US",United States of America,English,https://image.tmdb.org/t/p/w500/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,https://image.tmdb.org/t/p/w500/9Y85oA1y6toL2OACXdaC6iTl7eQ.jpg
16,tt0168629,Dancer in the Dark,Dancer in the Dark,en,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, dreaming up little numbers to the rhythmic beats of her surroundings.","In a world of shadows, she found the light of life.","Drama,Crime",Drama,2,2000-09-01,2000,9,3,2000,140,Epic (140+min),12500000,40061153,27561153.0,2.20489224,Mid Budget,5.7328,High,7.847,1986,7.264,Great (7-8),Released,Lars von Trier,Lars von Trier,"Björk,Catherine Deneuve,David Morse,Peter Stormare,Joel Grey,Cara Seymour,Vladica Kostic,Jean-Marc Barr","Zentropa Entertainments,DR,SVT Drama","DK,DK,SE","Denmark,Finland,France",English,https://image.tmdb.org/t/p/w500/pWzOfTJRZHPNO1VNrMnNFqRcJwg.jpg,https://image.tmdb.org/t/p/w500/vxvzf0cGtFY2Vpw5ULWumCIW6Ri.jpg
18,tt0119116,The Fifth Element,Le Cinquième Élément,fr,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",There is no future without it.,"Science Fiction,Action,Adventure",Science Fiction,3,1997-05-02,1997,5,2,1990,126,Long (110-140min),90000000,263920180,173920180.0,1.9324464444444445,High Budget,11.6851,Very High,7.566,11599,7.42,Great (7-8),Released,Luc Besson,Luc Besson,"Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm,Chris Tucker,Luke Perry,Brion James,Tommy Lister Jr.",Gaumont,FR,France,"English,Swedish,German",https://image.tmdb.org/t/p/w500/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,https://image.tmdb.org/t/p/w500/jW21PoKwqs79wk6bfiYezox63mK.jpg
19,tt0017136,Metropolis,Metropolis,de,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",There can be no understanding between the hands and the brain unless the heart acts as mediator.,"Drama,Science Fiction",Drama,2,1927-01-10,1927,1,1,1920,148,Epic (140+min),5300000,1350322,-3949678.0,-0.7452222641509434,Mid Budget,5.2261,Medium,8.089,3072,7.477,Excellent (8+),Released,Fritz Lang,Fritz Lang,"Gustav Fröhlich,Brigitte Helm,Alfred Abel,Rudolf Klein-Rogge,Theodor Loos,Fritz Rasp,Erwin Biswanger,Heinrich George",UFA,DE,Germany,No Language,https://image.tmdb.org/t/p/w500/kr9wXRN23zLuWJIelahas1mtnYj.jpg,https://image.tmdb.org/t/p/w500/eeMoFKxjjiCi6iep2GEZtSAMYIr.jpg
22,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,en,"When wily pirate Captain Barbossa seizes Jack Sparrow’s beloved ship, the Black Pearl, and kidnaps the governor’s daughter, Elizabeth Swann, blacksmith Will Turner reluctantly teams up with the unpredictable pirate Jack to rescue her—only to uncover a terrifying curse that turns Barbossa’s crew into the undead.",Prepare to be blown out of the water.,"Adventure,Fantasy,Action",Adventure,3,2003-07-09,2003,7,3,2000,143,Epic (140+min),140000000,655011224,515011224.0,3.6786516,Blockbuster,19.5014,Very High,7.82,22091,7.701,Great (7-8),Released,Gore Verbinski,Terry Rossio,"Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,Jonathan Pryce,Lee Arenberg,Mackenzie Crook","Walt Disney Pictures,Jerry Bruckheimer Films","US,US",United States of America,English,https://image.tmdb.org/t/p/w500/kvDwL2gTf6yxujbsWbsGQB3Z9Wa.jpg,https://image.tmdb.org/t/p/w500/uRNgkJSkNBFbbn9fPsEjDIy8Sh3.jpg
24,tt0266697,Kill Bill: Vol. 1,Kill Bill: Vol. 1,en,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",Here comes the bride.,"Action,Crime",Action,2,2003-10-10,2003,10,4,2000,111,Long (110-140min),30000000,180906076,150906076.0,5.030202533333333,Mid Budget,14.7174,Very High,7.971,18808,7.811,Great (7-8),Released,Quentin Tarantino,Quentin Tarantino,"Uma Thurman,Lucy Liu,Vivica A. Fox,Daryl Hannah,David Carradine,Michael Madsen,Julie Dreyfus,Chiaki Kuriyama","Miramax,A Band Apart,Super Cool ManChu","US,US,US",United States of America,"English,Japanese,French",https://image.tmdb.org/t/p/w500/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,https://image.tmdb.org/t/p/w500/iffzIhuLAO38Po6sh1s6ZEVwlNL.jpg
