release_year,total_films,avg_rating,median_rating,avg_runtime,avg_popularity,total_budget,total_revenue,total_profit,avg_roi
1915,1,5.96,5.96,193.0,3.51,100000,11000000,0.0,
1920,1,7.93,7.93,77.0,2.83,18000,8811,0.0,
1921,1,8.14,8.14,68.0,5.38,250000,5450000,5200000.0,20.8
1922,2,7.38,7.38,84.0,3.52,53000,24194,0.0,
1923,1,7.48,7.48,73.0,2.09,0,0,0.0,
1924,2,7.9,7.9,67.5,3.39,0,0,0.0,
1925,2,7.78,7.78,85.0,4.25,923000,4045100,3077000.0,3.33
1926,2,7.91,7.91,97.5,3.16,750000,1000000,250000.0,0.33
1927,3,7.34,7.81,112.67,3.92,5722000,5586322,-1771678.0,2.21
1928,1,7.99,7.99,81.0,2.14,0,18121,0.0,
1930,1,7.7,7.7,133.0,4.61,1448864,3270000,1821136.0,1.26
1931,4,7.74,7.76,85.25,5.23,2146000,16985274,14804000.0,14.35
1932,4,7.37,7.4,77.75,3.41,1410607,600000,-200000.0,-0.25
1933,2,7.56,7.56,87.5,4.89,1000000,10028886,9329781.0,13.88
1934,4,7.15,7.49,91.5,3.38,551408,5923000,5371592.0,9.07
1935,4,7.13,7.4,97.25,3.29,2343750,6460000,4116250.0,2.68
1936,2,7.93,7.93,91.0,4.6,2075375,2484200,408825.0,0.19
1937,2,7.56,7.56,102.5,3.26,600000,3172885,2400000.0,4.0
1938,7,7.43,7.5,99.86,3.76,6872159,198039587,192240428.0,32.35
1939,10,7.31,7.51,123.0,5.27,20623374,449363823,430340449.0,19.49
1940,8,7.69,7.7,112.5,5.68,9094000,256302819,247708819.0,20.54
1941,6,7.31,7.3,108.0,4.07,4126727,44151885,40025158.0,8.55
1942,4,7.3,7.18,95.75,3.9,2058000,268947150,266889150.0,155.48
1943,3,7.77,7.71,95.0,5.06,1443000,10462500,9584500.0,10.92
1944,6,7.6,7.56,103.67,3.68,6725437,5500000,1962738.0,0.76
1945,6,7.72,7.66,117.5,2.87,5375000,16587957,11431500.0,2.67
1946,11,7.42,7.5,109.73,4.07,11530000,77226124,65696124.0,11.27
1947,6,7.3,7.43,97.5,3.14,4130000,4264609,1334609.0,1.48
1948,10,7.62,7.68,104.9,2.98,11548000,31769159,17536159.0,4.03
1949,5,7.62,7.65,107.0,3.49,2900000,10109098,5983000.0,2.03
